ds,y
2026-04-09,797.7000122070312
2026-04-10,810.2999877929688
2026-04-13,794.7000122070312
2026-04-15,809.9000244140625
2026-04-16,795.4500122070312
2026-04-17,799.9000244140625
2026-04-20,795.4500122070312
2026-04-21,811.75
2026-04-22,799.9000244140625
2026-04-23,784.3499755859375
2026-04-24,784.8499755859375
2026-04-27,789.7999877929688
2026-04-28,782.5499877929688
2026-04-29,779.0
2026-04-30,771.7000122070312
2026-05-01,771.7000122070312
2026-05-04,779.4000244140625
2026-05-05,772.2999877929688
2026-05-06,796.5499877929688
2026-05-07,796.0499877929688
2026-05-08,
